"last_name, first_name","player_id","year","p_formatted_ip","p_era","pitch_hand","n","n_ff_formatted","n_sl_formatted","n_ch_formatted","n_cu_formatted","n_si_formatted","n_fc_formatted","n_fs_formatted","n_kn_formatted","n_st_formatted","n_sv_formatted","n_fo_formatted","n_sc_formatted","n_fastball_formatted","n_breaking_formatted","n_offspeed_formatted"
"Sánchez, Aníbal","434671","2016","153.1","5.87","R","2573","36.1","15.6","1","9.9","14.2","6.7","16.6",,,,,,"57","25.5","17.5"
"Nolasco, Ricky","445060","2016","197.2","4.42","R","3126","24","32.9",,"11","24.6",,"7.5",,,,,,"48.6","44","7.5"
"Kluber, Corey","446372","2016","215.0","3.14","R","3183","17.1","24","4.6","18.6","35.7",,,,,,,,"52.8","42.7","4.6"
"Shields, James","448306","2016","181.2","5.85","R","3119","25",,"21.4","16.4","18","19.2",,,,,,,"62.2","16.4","21.4"
"García, Jaime","448802","2016","171.2","4.67","L","2559","29.6","12.3","18","6.1","32.3","1.6",,,,,,,"63.5","18.4","18"
"Volquez, Edinson","450172","2016","189.1","5.37","R","3228","12.4",,"22.2","24.8","40.7",,,,,,,,"53","24.8","22.2"
"Weaver, Jered","450308","2016","178.0","5.06","R","2805","28.2","16.6","16.9","22","16.2",,,,,,,,"44.4","38.6","16.9"
"Fister, Doug","450729","2016","180.1","4.64","R","2994","22.2",,"6.4","14.7","43.2","13.5",,,,,,,"78.9","14.7","6.4"
"Gallardo, Yovani","451596","2016","118.0","5.42","R","2099","26","31.6","9.3","13.3","19.7",,,,,,,,"45.7","44.9","9.3"
"Lester, Jon","452657","2016","202.2","2.44","L","3157","50.9",,"4.9","12.6","13","18.7",,,,,,,"82.5","12.6","4.9"
"Kennedy, Ian","453178","2016","195.2","3.68","R","3377","57.8","8.1","11.8","13.8","8.4",,,,,,,,"66.2","21.9","11.8"
"Wright, Steven","453214","2016","156.2","3.33","R","2494","14.8",,,"16",,,,"69.2",,,,,"14.8","85.2",
"Scherzer, Max","453286","2016","228.1","2.96","R","3554","54.5","22.8","12","8.1","0.9","1.7",,,,,,,"57.1","30.9","12"
"Buchholz, Clay","453329","2016","139.1","4.78","R","2225","18.2",,"17.3","18.9","22.7","21.9","1",,,,,,"62.8","18.9","18.3"
"Arrieta, Jake","453562","2016","197.1","3.10","R","3117","20.5","18","4.8","12.3","44.4",,,,,,,,"64.9","30.3","4.8"
"Price, David","456034","2016","230.0","3.99","L","3588","13.3",,"22.7","8.7","36.4","18.9",,,,,,,"68.6","8.7","22.7"
"González, Miguel","456068","2016","135.0","3.73","R","2094","29.1","23.6","19.7","9.5","18.1",,,,,,,,"47.2","33.1","19.7"
"Griffin, A.J.","456167","2016","119.0","5.07","R","2057","54.9","16.8","9.4","18.9",,,,,,,,,"54.9","35.7","9.4"
"Cueto, Johnny","456501","2016","219.2","2.79","R","3290","24.4","17.8","19.9","0.5","20.9","16.5",,,,,,,"61.9","18.3","19.9"
"Happ, J.A.","457918","2016","195.0","3.18","L","3032","58.5","12.9","6.3","7.4","14.9",,,,,,,,"73.4","20.3","6.3"
"Tomlin, Josh","458708","2016","174.0","4.40","R","2606","29.7",,"8.3","14.9","9.1","38.1",,,,,,,"76.9","14.9","8.3"
"Pelfrey, Mike","460059","2016","119.0","5.07","R","2015","2.7","9.7",,"4.8","67",,"15.8",,,,,,"69.7","14.5","15.8"
"Gonzalez, Gio","461829","2016","177.1","4.57","L","3108","37.3",,"16.5","19.8","26.4",,,,,,,,"63.6","19.8","16.5"
"Estrada, Marco","462136","2016","176.0","3.48","R","2835","41.3",,"28.7","10.1",,"19.9",,,,,,,"61.3","10.1","28.7"
"Nova, Iván","467100","2016","162.0","4.17","R","2306","12.3","2.8","4.6","28.1","52.3",,,,,,,,"64.6","30.9","4.6"
